Misspelled Name,Correct Name
hardyk,hardik
rorki,morki
neusi,nemsi
ramowrup,ramswrup
chandracalp,chandracala
gaash,garsh
kardn,karan
meent,meena
sajruddqn,sajruddin
suohi,subhi
ngmra,namra
momender,somender
rajxir,rajvir
pnrmo,parmo
moji,moni
sahrdl,sahrul
amastha,avastha
rurak,rupak
shubanwar,shubankar
fiwa,fija
satwandeu,satwander
kushua,kushma
godabbari,godambari
sallu,pallu
mwrad,murad
bobbi,bobbi
lawpreet,lavpreet
mrsad,arsad
jhirender,dhirender
vansmu,vanshu
mamini,kamini
csandru,chandru
balem,balam
sapaoa,sapana
naddu,nandu
musrika,mudrika
mukimac,mukiman
swrety,sweety
jegny,jenny
ovaiih,ovaish
ptrvinder,parvinder
foranwa,foranta
oaamini,kaamini
sdaila,shaila
lasir,lasar
dopiram,gopiram
nmpun,nipun
rnnpal,ranpal
siopi,silpi
sazq,sazi
uohinuddin,mohinuddin
anje,anja
gurmeec,gurmeet
nawhd,nawed
tohbeeem,tohseeem
gurbaclan,gurbachan
santarw,santara
segran,sehran
ljkshmi,lakshmi
mukhdiyar,mukhtiyar
cishipal,rishipal
ralvati,ramvati
roshanhra,roshanara
sevaj,sevak
run,ran
cholu,bholu
fhayman,fharman
tabbassm,tabbasum
salinver,salinder
sohaic,sohaib
pukhaiam,pukharam
subhkm,subham
pajani,rajani
farwitavm,sarwitavm
orsad,arsad
mawan,bawan
callavi,pallavi
uallawi,pallawi
rzmjhim,rimjhim
talyab,taiyab
vashiua,vashila
raghunandan,raghunandan
jainanti,jaivanti
nimmm,nimmy
puneeg,puneet
hkm,hem
yogendg,yogendr
nqryan,naryan
ravitx,ravita
demki,devki
sont,sonu
suniya,sutiya
dshu,ashu
vitual,vithal
aysha,aysha
rmshma,reshma
vipts,vipta
aqfaq,asfaq
tabawum,tabbwum
yogenvra,yogendra
seepanti,deepanti
ashni,ashmi
tkrath,tirath
roman,rohan
nagmr,nagma
aasris,aashis
pushpam,pushpan
nizaw,nizam
jaghunandan,raghunandan
amafjeet,amarjeet
gtgna,gugna
sijruddin,sajruddin
ramnan,ramjan
tisar,tisar
mibali,mitali
rarrati,ramrati
halita,lalita
vxkky,vikky
jalsiegh,jalsingh
joxkyipai,jockyipai
bqlal,bilal
,
jelee,julee
maifiya,kaifiya
ishita,ishita
prshi,arshi
lozia,fozia
azesh,adesh
sagthak,sarthak
budhwjnti,budhwanti
mentu,mantu
nimuhe,nimahe
sshaja,sahaja
neelw,neelu
shajnawaz,shahnawaz
rahimuddic,rahimuddin
rryan,aryan
ishrfna,ishrana
ailshana,dilshana
akkns,akkni
abhayi,abhaki
savija,saviha
asgpri,asgari
tvmanna,tamanna
kriui,kriti
rashiia,rashika
kanyz,kanya
muetajar,muntajar
pritv,priti
srchitra,suchitra
syamsundxr,syamsunder
asarsh,adarsh
joni,soni
aaenvb,aaenab
harbhajah,harbhajan
nvraj,niraj
pallc,pallu
zumare,kumare
ntni,nini
mylu,molu
geepka,deepka
shoen,shoan
tnki,taki
gqernish,geernish
rajender,rajender
tulshi,tulshi
chpnchal,chanchal
sakin,sakib
nksi,nosi
nhnki,nanki
sichrath,sidhrath
uasvindir,jasvindir
sapjta,sapita
rajwanti,rajwanti
kjshar,keshar
omwone,omjone
bhagwsn,bhagwan
orabhu,prabhu
unknoun,unknown
makrgd,makrud
ashnnjali,ashanjali
partzl,partul
bhuiesh,bhupesh
sajruddim,sajruddin
sulri,susri
perkarh,perkash
samai,samay
biojesh,birjesh
ssjana,snjana
oarsi,parsi
upasara,upasana
lnveri,liveri
ardtya,aidtya
paxsnath,parsnath
sahibbudin,sahabbudin
napayan,narayan
darim,karim
watthu,natthu
varpal,virpal
eeeti,neeti
yintu,mintu
amratalal,amratalal
ghurender,dhurender
sdahvaj,shahvaj
hen,hem
inuska,anuska
binvu,bintu
rithik,rithik
macrud,makrud
seetj,seeta
jruga,druga
jabzr,jabir
al0w,al0k
paer,peer
eicha,richa
santna,santna
parfeep,pardeep
gvrishi,girishi
bansh,bansi
safoa,safia
kusmagra,kushagra
iuskan,muskan
puvhpender,pushpender
tejaz,aejaz
madka,manka
tmles,kmles
panmvti,panmati
nirmana,nirmala
becpan,bechan
popieder,popinder
imtiaz,imtiaz
lilg,lila
skkcham,sakcham
aneetb,aneeta
khubchany,khubchand
haqara,hazara
dureabai,durgabai
vidiv,vipiv
muxti,mukti
lakhua,lakhya
mandira,mandira
rixesh,rinesh
tubbusum,tabbusum
rubde,rubee
makhsn,makhan
kaushck,kaushik
reymat,rehmat
eyar,pyar
hempaj,hemraj
arsslan,araslan
sukkn,sukka
manbfar,manbhar
meeya,deeya
micu,minu
dvanni,dhanni
saodhaya,sandhaya
malld,mallo
sehkev,sehdev
trra,frra
sradiya,shadiya
sobat,sobit
brakuni,bhakuni
farnkh,farukh
akxnsha,akansha
hukawchand,hukamchand
vintu,pintu
porsi,parsi
mubaric,mubarik
kartikf,kartika
hnandi,anandi
manjusha,manjusha
eawab,nawab
moolchhl,moolchul
iashoda,yashoda
nandhna,vandhna
fapeem,fareem
"amlt,","amit,"
dilwan,diljan
aleysha,aleesha
narkin,narain
devashesh,devashish
rhavishy,bhavishy
aidarth,sidarth
panchusam,panchuram
nazam,nazim
reqa,rema
vaul,paul
sbbeeha,sabeeha
pyarulal,pyarelal
riwa,rina
fotnta,fornta
siyari,sayari
shivupal,shisupal
pxrmila,parmila
skpita,sapita
pixush,piyush
mozi,rozi
dharalvir,dharamvir
aderken,adersen
vedpoakash,vedprakash
manh,mani
rawiya,raniya
pnol,pool
gurmeee,gurmeet
anzshka,anushka
lakshta,lakshya
mantasea,mantasha
reta,reka
boma,poma
tiraqh,tirath
surwyan,surgyan
fuda,fida
khushnaaeeb,khushnaseeb
anssum,anshum
fatn,ratn
khuilo,khumlo
najan,naman
chndrykla,chndrakla
seesal,seetal
visxu,vishu
vbshwjeet,vishwjeet
aysla,aysha
ganarsi,banarsi
sabda,saida
kankv,kanki
aaradwana,aaradhana
pabi,nabi
shahnxm,shahnam
mvhinuddin,mohinuddin
hasjm,hasim
lgta,lata
nnjal,anjal
khergl,kherul
vangeet,sangeet
jfgat,jagat
hotd,hoti
swdha,sudha
gurmip,gurmit
salrpa,salupa
ravhimi,rashimi
nznnu,nannu
jasmxna,jasmina
sikanser,sikander
ankum,ankus
rizvaba,rizvana
lagar,sagar
badnavh,badnath
noorben,nooreen
khublu,khubhu
tifk,tilk
nasoim,nashim
vickka,vickky
sushilm,sushila
xubo,rubo
rinkos,rinkoo
inche,incee
ger,gur
shthnaza,shahnaza
duiru,dhiru
rabhna,rabina
mta,lta
harsl,harsh
tinnu,tinku
pririka,pritika
as0k,al0k
oanchan,kanchan
ghakiram,ghasiram
poh,moh
oultan,multan
batgali,bangali
muntjab,muntjar
babudzen,babudden
rangeeti,rangeeta
mitar,sitar
wapu,bapu
mighelash,mithelash
ramjat,ramjan
bbma,bima
munemh,munesh
bhorglal,bhorelal
gulpacda,gulpacha
madanbal,madanlal
maksgod,maksood
kanhaiynlal,kanhaiyalal
madhubalg,madhubala
qehar,mehar
rambarcse,rambarose
imrava,imrana
mittoprri,mittopuri
manlikka,mahlikka
toop,roop
sandeepj,sandeepa
saimbn,saimun
sbabanam,shabanam
cancu,pancu
nwvita,navita
minakymari,minakumari
kxle,kale
eawal,kawal
chanpermani,chandermani
sukshanr,sukshana
nefraj,neeraj
yashi,rashi
canhaiyalal,kanhaiyalal
ondal,indal
chumkx,chumki
jzete,jeete
reeli,neeli
pukhmram,pukharam
shahrieh,shahrish
haqkuji,halkuji
kobshik,koushik
rsdmal,rudmal
vpmlesh,vimlesh
mqhvish,mahvish
eldrg,eldro
preety,preety
shmekha,shmejha
gonsad,gonsan
kavif,kavit
naroish,nargish
zjahar,ajahar
veknu,veenu
kiranti,kiranti
grij,brij
purteek,parteek
jaideb,jaidev
zpini,zhini
ramdyag,ramdyal
mashli,mashli
tasvima,taslima
vedeti,vedehi
chetauram,chetanram
watneshwar,ratneshwar
talqb,talib
gaidas,saidas
rajanli,rajanti
ahilpi,shilpi
srpriya,supriya
lsve,lave
badkath,badnath
mnog,mnoj
satwanqer,satwander
dwrikapraswd,dwrikaprasad
salgita,sangita
anmkesh,anikesh
lskman,lukman
parteuk,parteek
stjan,sejan
sabara,sayara
dhaneswae,dhaneswar
shahiska,shahista
rwmji,ramji
pendu,pandu
srushree,shushree
kawlaki,kailaki
manindgr,maninder
sumh,sukh
rambki,rambai
kawlu,kallu
chandzreet,chandpreet
bhuran,bhulan
samhr,samer
lalaram,lalaram
ciya,diya
mukul,mukul
kunzi,kunti
slmbir,sombir
mpthu,mithu
mepsh,meesh
aesba,aesha
sanjuy,sanjey
maauja,manuja
taqas,tapas
akscita,akshita
ganfta,ganita
bmto,bato
fday,uday
hordhan,gordhan
bhaghav,bhabhav
inyerpal,inderpal
nlrendar,narendar
majidunibha,majidunisha
adityilok,adityalok
sukhvifder,sukhvinder
anokha,anekha
nilender,silender
parathvl,parathvi
bsorelal,bhorelal
ryshan,roshan
subito,subato
bhagwfna,bhagwana
avpish,avnish
rajf,raju
girdqari,girdhari
dayazati,dayawati
yasr,yash
etausaam,etahsaam
pjrmika,pirmika
surrt,surat
jagdamba,jagdamba
wasim,nasim
dharverh,dharvesh
avsim,aasim
ishlkar,ishtkar
aqindra,arindra
kaushaliga,kaushaliya
sarix,sariq
garjina,marjina
oahzbin,mahzbin
samsiza,samsida
rasuh,rasul
ssefali,shefali
momiea,momina
kancvan,kanchan
dkljan,diljan
anjrec,anjrej
qajibul,rajibul
nqjubai,najubai
scanah,shanah
sdhira,sahira
iesaf,insaf
karamzir,karamvir
dezpshikha,deepshikha
sukhpreeet,sukhpreeet
srayatan,prayatan
ghardha,shardha
nazir,nazir
huyeni,huseni
radheka,radhika
sidhima,ridhima
dhurk,dhurv
michi,mithi
ajrin,amrin
stneel,suneel
begy,beby
mwlina,mulina
nulan,nutan
hamila,hamida
parmanank,parmanand
panchoo,panchoo
sarinder,narinder
sshima,ashima
ashwins,ashwini
dhananjaw,dhananjai
ritrka,ritika
ranjnt,ranjit
mashehn,masheen
bhuld,bhuli
sonida,soniya
lineta,vineta
asfaq,asfaq
sasila,susila
chhxti,chhoti
hadprali,hadarali
kaloa,kalma
surjwet,surjeet
gyatrj,gyatri
amihan,amijan
nutas,nutan
salada,salama
mexar,mehar
sallh,sally
jaslxen,jasleen
ramkiwh,ramkish
hexant,hemant
bianupriya,bhanupriya
malxhand,malchand
dqvi,devi
chov,chom
konhaiyalal,kanhaiyalal
faripa,farida
usmit,asmit
revi,ruvi
asnan,asman
ilga,ilma
ansql,ansul
zashika,yashika
rajim,rajiv
rabi,rahi
sqoab,shoab
bhajeu,bhajju
kauri,kaari
mkendar,mhendar
yaijnath,baijnath
sfheen,saheen
lishu,nishu
smjni,sajni
pavu,paru
vindeshveb,vindeshver
syamima,shamima
pryanya,pryanka
phoolwantt,phoolwanti
adrtiya,aditiya
oubhapal,subhapal
kmashankar,umashankar
rugra,rudra
sabvam,sabnam
ramlas,ramdas
mehifder,mehinder
pyxri,pyari
salmachatun,salmakhatun
bwinkil,twinkil
jenzfer,jenifer
arhiyast,arhiyant
gituraj,rituraj
naimuddvn,naimuddin
munj,muni
sappal,satpal
faahan,farhan
wtjuddin,wajuddin
yahim,rahim
agadhana,aradhana
rufel,tufel
bhasirath,bhagirath
arnawjit,arnabjit
rrnkal,rinkal
wajuddib,wajuddin
ytshoda,yoshoda
ohannu,dhannu
bhulesh,bhupesh
prssnt,prsant
tosheeu,tosheeb
boag,bhag
gwinkil,twinkil
pmrdep,pardep
meti,seti
jbrj,jorj
vbishanvi,vaishanvi
kiushboo,khushboo
badrudfen,badrudeen
bhwma,bhima
mkesh,meesh
vipog,vipol
kalisz,kalish
dhkdi,dhodi
dhramvler,dhramveer
ujardeen,umardeen
scrti,surti
zinukanwr,rinukanwr
mudacar,mudasar
krwshama,krishama
kholan,khokan
rag,raj
javif,jarif
nilesf,nilesh
rajemwary,rajeswary
lglan,lalan
jabotli,jayotli
deendyak,deendyal
amarapil,amarapal
rhn,ran
jimple,dimple
muptaq,mustaq
pharamveer,dharamveer
nacma,nagma
gaure,gaura
swatu,swati
ctosh,chosh
muemil,muzmil
mepla,meela
sanar,sahar
akhyish,akhlish
trilochpn,trilochan
tabisum,tabwsum
jidan,jisan
imart,amart
aqubal,iqubal
reewi,reeti
bahram,bahrat
mxansingh,maansingh
bharjha,bharkha
harbindrr,harbinder
phvlbi,phulbi
rjtmo,ratmo
sooha,soona
pptar,pitar
canya,kanya
rihul,rahul
qeenu,peenu
dwlbar,dilbar
ibrvheem,ibraheem
ragkaran,ramkaran
sarwitahm,sarwitavm
jydu,jadu
dyramender,dhramender
sqyan,shyan
aaxamika,aanamika
oalu,kalu
hariyhankar,harishankar
sapjiv,sanjiv
maiqy,mairy
majidunissa,majidunisha
saveem,sameem
gfetika,geetika
bxni,beni
bivender,birender
ssurav,saurav
chancrakala,chandrakala
gcndi,gendi
gudyt,gudya
tarum,tarun
skntu,sintu
jankrdj,jankraj
sunxrkali,sunarkali
gursimaran,gursimaran
niya,nisa
kunita,punita
whawan,bhawan
pibky,pinky
banwi,janwi
dularq,dulari
radwanti,rajwanti
gysri,gytri
radhgyshyam,radheyshyam
shyamlah,shyamlal
iidami,bidami
jtuli,jauli
rismbh,risabh
tabstm,tabsum
gurjett,gurjeet
binits,binita
acsar,ansar
nqsreen,nasreen
genjir,benjir
bhgndki,bhundki
avkesh,ankesh
raginr,ragini
vicckq,viccky
mhnaksi,minaksi
kosalla,kosalya
kxnku,kanku
copmic,cosmic
uxasna,upasna
hsiya,asiya
sbrojini,sarojini
jbarhim,ibarhim
dbha,abha
mirnu,mitnu
lar,lav
sktara,sitara
kaamiii,kaamini
dhavsinghpuri,dhansinghpuri
bemy,beby
rasu,vasu
jooiya,jomiya
gulaasha,gulafsha
kundkn,kundin
jsya,jaya
parwibha,partibha
visiesh,vishesh
abmiraj,abhiraj
jqhirul,jahirul
zesgan,zeshan
parmanamd,parmanand
qhadhik,shadhik
sujhta,sujata
rubcy,rubey
jhbi,jebi
zuhasb,zuhaib
pafnesh,pavnesh
gagpn,gagan
ganver,manver
zakerey,fakerey
madam,madam
omprakasg,omprakash
omkndra,omendra
mukidan,mukiman
parsanjeeu,parsanjeet
gulsnafa,gulshafa
sushmila,sushmita
dano,nano
denendra,devendra
vakhel,vakeel
janakt,janaki
khvshnudi,khushnudi
alcjan,alijan
aauim,aasim
afup,anup
shvhnaz,shehnaz
gamandeep,gagandeep
xrsad,arsad
tundirom,tundiram
shggufta,shagufta
saxista,sahista
medtab,mehtab
purnimw,purnima
giyush,piyush
khpshboo,khushboo
unktown,unknown
harimoran,harimohan
rajyani,rajrani
tmlaram,tolaram
binaai,binani
harwlndra,harwindra
oaiparkash,jaiparkash
vilrzm,vilram
bhhva,bhiva
sankarlay,sankarlal
talinder,tajinder
happt,happy
vajid,vajid
grovi,groti
losy,rosy
pushank,pushank
kanhaipalal,kanhaiyalal
panahu,panchu
fylo,fulo
noojf,noojo
shcdhna,shadhna
omjoni,omjone
whakar,shakar
bimlysh,bimlesh
roamen,rojmen
rajim,rahim
avarkali,anarkali
kosti,konti
miva,mina
jaseir,jasbir
yashodsa,yashodha
nihar,nisar
basafta,basanta
pazi,pavi
pitin,jitin
hariesh,hariesh
amrva,amrta
dxvya,divya
padmk,padma
hazs,hazi
preti,preti
babai,babar
maivish,mahvish
satnap,satnam
deveeh,devesh
dhakoadevi,dhakhadevi
maa,man
ajmut,ajmit
jnneshwar,janeshwar
iakho,rakho
abhinaxh,abhinash
sarar,sarah
vqjayanta,vijayanta
sann,sanu
nasiac,nasiar
pargti,parvti
rholu,bholu
ompprkash,omparkash
gpngun,gungun
shakona,shakina
qiddharth,siddharth
hadvir,yadvir
siwa,suwa
kodylaya,kosylaya
radhamohtn,radhamohan
nqk,nek
payana,aayana
nqna,nena
vizhwjeet,vishwjeet
jlli,juli
lanital,lalital
anjaja,anjana
nlshant,nishant
sonvik,souvik
lakhci,lakhmi
qahnaz,sahnaz
akltari,akhtari
gulafzha,gulafsha
janada,jayada
shaml,shail
bgupesh,bhupesh
pusna,puswa
zechan,zeshan
saztd,sazid
iiara,ikara
virorika,vironika
lajkaranta,rajkaranta
kirorimal,kirorimal
shclap,shilap
chetram,chetram
gbvinda,govinda
bseti,beeti
wharinimle,sharinimle
tjmsa,tamsa
svur,shur
charma,bharma
shaunawaz,shahnawaz
fanrudeen,fakrudeen
hgppy,happy
misjah,misbah
ayukh,ayush
fsrf,asrf
amarnath,amarnath
navender,davender
aradhand,aradhana
dilawab,dilawar
tujvir,tejvir
kamga,kamla
fazwlla,fazulla
abhidwav,abhinwav
brachi,prachi
mahadehi,mahadevi
rupadi,rupali
heeda,heena
rznky,rinky
sasista,sahista
lamvati,ramvati
pachin,sachin
scalu,saalu
kmwal,kawal
xouchu,kouchu
bnjana,snjana
fhalla,jhalla
shaai,shani
rszim,razim
pqlita,pulita
mcnender,munender
dhuama,dhrama
sotnam,satnam
aaszha,aastha
gyatoi,gyatri
saedab,sahdab
mitailesh,mithilesh
wadhadalal,radhadalal
dilban,dilbar
usnati,unnati
hbm,hom
rkjeet,rajeet
kauyan,kalyan
mathk,matok
bhhnupriya,bhanupriya
sannar,sankar
zaheeh,zaheer
rasid,rasid
jcmmi,jimmi
komdl,komal
duldri,dulari
bbupen,bhupen
sarvan,sarvan
tapendtr,tapender
sugona,sugana
sarabqit,sarabjit
shabanam,shabanam
hkbib,habib
sanghaya,sandhaya
jittendej,jittender
kamkum,kumkum
shrnshak,shanshak
jcotsana,jyotsana
qony,jony
sqnthia,senthia
zyara,tyara
kudtuiu,kudtusu
vilkky,vickky
soubav,sourav
mirah,miraz
rojven,rojmen
suxhvir,sukhvir
prethvi,prithvi
mehir,mihir
ziarpl,ziarul
loaender,lokender
bajudden,babudden
jrete,jeete
sahafraj,sarafraj
chandrrah,chandrram
ksshma,kushma
nassyn,nassin
parcesh,parvesh
nurander,narander
binwer,binder
kedaryal,kedarmal
rarander,narander
tanviw,tanvir
guljlr,guljar
shvr,sher
shic,shib
abtima,antima
tohdr,tohir
aafyab,aaftab
jasai,jassi
jvanki,jaanki
ananwi,anandi
dahira,tahira
zaair,zakir
bya,gya
virdhari,girdhari
sqbhagi,subhagi
rakshd,raksha
sukqlal,sukhlal
savreey,savreen
dushad,dishad
qarmani,harmani
diksad,dilsad
wacir,wazir
smavti,smarti
soahboob,shahboob
tinju,tinku
kedkasha,kehkasha
nazmua,nazmaa
jaisikh,jaisigh
gattantra,gantantra
raahadalal,radhadalal
cupen,rupen
ram,sam
deepi,deepu
fhzaz,fazaz
guuanidhi,gunanidhi
datj,data
shardanamd,shardanand
satpal,satpal
wukam,hukam
kacky,jacky
toshepb,tosheeb
catwinder,satwinder
ges,gen
ragnf,ragni
phppu,pappu
jgdisy,jgdish
fhatan,chatan
larvej,parvej
syekiba,shekiba
sinka,sinta
yazirul,nazirul
kajajuddih,kajamuddih
gulnan,gulsan
sarojni,sarojni
mahjasi,mahjabi
jamrl,jamal
cbahat,chahat
yashodp,yashoda
hunaki,sunaki
vwena,veena
mukhtpr,mukhtar
coona,moona
farahyen,faraheen
fardeep,sardeep
rajpql,rajpal
ruhel,suhel
badrudden,badrudeen
mudriza,mudrika
abhaysinsh,abhaysingh
rakhye,rakhee
yobi,sobi
labita,sabita
sowaw,sowar
aamzsh,aamosh
gurjut,gurjit
gri,sri
pratipha,pratibha
divawe,divaie
tavvajum,tavvasum
jatbar,jabbar
tulekha,julekha
shidxarth,shidharth
rwtiman,ratiman
albtna,albina
mbarhim,ibarhim
dhananhay,dhananjay
lammta,mammta
daslin,jaslin
krimhnal,krishnal
said,said
anuhhav,anubhav
somnatt,somnath
jlt,jat
bine,bina
arunzumar,arunkumar
yahendra,mahendra
baxhcha,bachcha
fiqoz,firoz
chanderzanta,chanderkanta
xhaboob,shaboob
bira,sira
lakih,laksh
sikna,sikha
sacafraj,sarafraj
ranvi,manvi
taiasum,tabasum
hzkamchand,hukamchand
kharchan,khanchan
nooean,nootan
uafsa,hafsa
eatan,ratan
awoop,anoop
sawhi,sachi
jnli,juli
eantro,santro
qabu,babu
amvooti,amrooti
raeiya,rajiya
kishun,bishun
madharav,madharam
dajud,daaud
nakma,najma
gulsana,gulsana
kalykni,kalyani
fmprakesh,omprakesh
sulit,sujit
tuski,tulki
stieman,saieman
kaata,kanta
"smw,","smt,"
suein,subin
sydip,sadip
stkhpal,sukhpal
shaana,shaina
geepak,deepak
radhesxyam,radhesayam
yknus,yunus
roormani,rookmani
ndmla,nimla
axdt,axat
bansli,banshi
tyushif,taushif
sarojaxi,sarojani
dauyat,daulat
vishamntra,vishamitra
baheshwer,baleshwer
sursa,surja
marzika,marzina
chaterpxl,chaterpal
niwu,nilu
charanjeeh,charanjeet
anantram,anantram
rajindek,rajinder
hfsim,hasim
mdta,mata
nakua,nakul
gslfasa,gulfasa
jadna,jamna
raihingh,raisingh
tohel,sohel
kusrant,nusrant
tak,tak
rahid,jahid
shulekfa,shulekha
ruklhar,rukshar
rgzni,razni
gaivind,jaivind
juhewuddin,juhewuddin
uhispal,shispal
ishnari,ishwari
naveewa,naveeda
jowhi,joohi
oowar,sowar
rujnesh,rajnesh
laxmaz,laxman
haseef,naseef
sitoo,bitoo
farhjn,farhin
avshwarya,aishwarya
najiy,najim
radu,kadu
iabu,pabu
mohammzd,mohammad
bundpu,bundhu
seti,seti
haileen,harleen
khazbhoo,khasbhoo
natkesh,nankesh
biduya,bidhya
javaz,javal
sotrab,sourab
thaswat,shaswat
yinaksi,minaksi
bmchan,bechan
toyaa,joyaa
amalin,amarin
rajkumark,rajkumarm
buuhu,budhu
wapiil,kapiil
paniit,pandit
slmad,samad
sangetm,sangeta
bhalti,bharti
lolutha,lalutha
suvnesh,sumnesh
dehnawaj,sehnawaj
sbnjey,sanjey
premqa,premla
rashsda,rashida
chirap,chirag
rinbir,ranbir
sasan,savan
pandu,handu
rarnav,parnav
gita,gila
surjij,surjit
bishtn,bishun
anjhum,anshum
gulfasua,gulfasha
kunded,kunden
kalwani,kalwati
siny,sony
mazida,mazida
rgmniwasj,ramniwasj
rajjnderi,rajenderi
laei,lali
vinof,vinod
dilkhush,dilkhush
jaail,jamil
jagveer,jasveer
chandracula,chandracala
nanuj,tanuj
laliya,laliya
mtn,man
artht,arthi
baccan,bachan
nizamudden,nizamuddin
pikahat,nikahat
s/l,s/o
miendar,mhendar
adiii,aditi
uhish,shish
gwr,gur
nasrjn,nasrin
amqin,amrin
nqsi,nosi
taxim,talim
niyky,nikky
ajay,ajaj
xiza,siza
jamkanya,ramkanya
saranthum,saranthem
hapina,hasina
aushat,akshat
bhilaee,bhulaee
mohpni,mohini
umardern,umardeen
aajrani,rajrani
vtrsha,varsha
beeru,beeru
anupzma,anupuma
akdb,akib
zawita,kawita
hukmx,hukma
verondka,veronika
tabsur,tabsum
binoal,binpal
rxhitash,rohitash
cwsmic,cosmic
hrindra,arindra
eahnaz,sahnaz
fakipi,fakiri
batv,bato
amrya,amrta
kosaliya,kosaleya
khaarti,khairti
khuwbhu,khusbhu
matadern,matadeen
tepu,tepu
jvgdish,jagdish
cukilal,yukilal
joniya,jomiya
laxdi,laxmi
najmbai,najubai
suhsmite,suhsmita
soooaj,sooraj
pairy,mairy
sunber,sunder
huka,ruka
hahdev,hardev
soojadevi,poojadevi
mayurm,mayuri
kolhlya,koshlya
bikil,nikil
neljm,nelam
kashirvm,kashiram
yomina,momina
heery,heera
santada,santara
glverdhan,goverdhan
aruei,aruni
bpudhi,bhudhi
bishnj,bishnu
somwsh,somesh
cokmic,cosmic
ntzsha,ntasha
rajegt,rajeet
yeshpvl,yeshpal
sirra,sitra
fooliaya,foolmaya
parbhab,parbhat
rawed,jawed
bgshara,bushara
visul,vipul
sarau,sarad
amkar,ammar
fannt,fanni
sukhangi,subhangi
irfa,irfa
nijarana,najarana
ceyji,deyji
pjooli,phooli
sonja,sonia
islar,iswar
akkesh,ankesh
rahdl,rahul
cjandabai,chandabai
kjrmbir,karmbir
preetu,preety
nahbir,narbir
shahcaz,shahbaz
sandram,sangram
yukilaq,yukilal
gucnaz,gulnaz
niajla,nirjla
szushila,shushila
roh,moh
